SoC,Cycle,SoH,R0,R1,W1,CPE1_0,CPE1_1
10,0,100%,0.08075199742074624,0.07658418541963717,0.006586610238441236,2.4326129688782383,0.4274974737867549
10,45,97%,0.08171314460260318,0.07031996088123384,6.101171109450574e-09,2.459605610211712,0.43672353839359185
10,90,93%,0.0834357653557249,0.0876062581131418,2.956201631245856e-16,2.984429283081482,0.3982688295122735
10,116,91%,0.08463882062112674,0.10081721888583585,4.982379085856619e-15,3.388660961291556,0.37555452407658496
10,135,89%,0.08535980746873423,0.12110021418259925,7.934844983133752e-14,3.7873606966506963,0.3524872055146863
20,0,100%,0.08089266922064134,0.05434589486875542,0.002379730272820209,1.3761035313888945,0.5136805684704664
20,45,97%,0.0819551548428289,0.057691511584515104,0.0011106230035095007,1.8618394704949117,0.47837354687217687
20,90,93%,0.08361399011998842,0.06732705045770795,0.00014125990221173585,2.203481529432543,0.4424727049738542
20,116,91%,0.08478985488818849,0.07196499847554626,4.7607326770165424e-08,2.377611096163086,0.4255764477221307
20,135,89%,0.0856571812039857,0.07809074081203335,3.2074564588056848e-21,2.495658798053597,0.41110752099774306
20,180,80%,0.08757848255478155,0.11751912187942716,5.640382152069117e-15,3.048133891900047,0.35516459747389817
30,0,100%,0.08112556151664294,0.04830375457072767,0.002664398410707281,1.073482400356833,0.5505587592995339
30,45,97%,0.08238224553912563,0.04831136012448107,0.0026387449001031857,1.3320694388103584,0.5277186933748176
30,90,93%,0.08391430661544456,0.05649015124163621,0.0020908338859416883,1.6595213119653645,0.48389143462924683
30,116,91%,0.08498762037429804,0.0600449518351627,0.001871621180445652,1.8265776249121164,0.46341242702167174
30,135,89%,0.08578143455025061,0.06455466036558326,0.0016057371366572956,1.9421714429707795,0.44675183934835033
30,180,80%,0.08825110344930741,0.08410743131426103,0.0016112339377503343,2.11413173773587,0.407346276149278
40,0,100%,0.0812542403038208,0.043488177076837456,0.0031007092628933396,0.8365940110760738,0.5870159094920016
40,45,97%,0.082796639325506,0.041468506181833106,0.002408425599364283,0.9187643835148372,0.5805935895402314
40,90,93%,0.08467469767995421,0.04531382104654238,0.0027223170209285876,1.0218947788348172,0.5539500046323548
40,116,91%,0.08584993474076434,0.04735929980934236,0.0030369478129802173,1.101234895524402,0.5366620278204085
40,135,89%,0.08669622646094846,0.05040308557249065,0.0033205519531779534,1.179840814140818,0.5188800540697784
40,180,80%,0.08901989256264857,0.06694767961358955,0.004032115726083288,1.4591999653960053,0.46167494969037415
50,0,100%,0.08134479257504203,0.040540370188374725,0.002600801466745796,0.6770984234865041,0.6160222030692037
50,45,97%,0.08288271723593885,0.04040388224796486,0.0022805044178622743,0.8165273216859195,0.5950904899637515
50,90,93%,0.08485401588938897,0.043294833352430125,0.002511940411611581,0.8638603714225417,0.5756843320177587
50,116,91%,0.08606792905567254,0.04433182581380718,0.0027470208577070076,0.8947305156825505,0.5638721684560092
50,135,89%,0.0870732012057921,0.045881377474988265,0.0030070116575076937,0.9025904186702263,0.5551515338721976
50,180,80%,0.09003033290332849,0.05398974345173821,0.004686388806132238,0.8856103238550309,0.5331415330262876
60,0,100%,0.08126669777444956,0.04063989163384642,0.0024997233309844327,0.6333513424469752,0.6224779930179722
60,45,97%,0.08301212376080556,0.038082354190969656,0.00266440574601273,0.6940049225713871,0.61590870741775
60,90,93%,0.08504756583245553,0.0408930811958296,0.0028127457218780115,0.7263922377522232,0.597386579895021
60,116,91%,0.08629798126855348,0.04188431962493441,0.003021119419429206,0.7454916721774477,0.5866589058184614
60,135,89%,0.0873280884555492,0.04329112060046339,0.0032710238837989764,0.7493544856673494,0.5788051668723392
60,180,80%,0.09038279947902797,0.050237468982501816,0.004601835340181336,0.7014602737989425,0.5646199117509834
70,0,100%,0.0812562435455733,0.039333915894365384,0.0028562574252144076,0.5792051043017121,0.6337800773820911
70,45,97%,0.08300524960253136,0.0361931603049154,0.003747627923862507,0.629136437595444,0.6287300627578
70,90,93%,0.08510500493133757,0.038761119145035765,0.003867578797183021,0.6416664239807657,0.6128714760044797
70,116,91%,0.08638053845343487,0.039575652064515854,0.0041300100446261786,0.6478729935409977,0.6042498880744717
70,135,89%,0.08744108753791376,0.04068026601113852,0.004392331563802713,0.6407262462191744,0.5987479839312523
70,180,80%,0.09060298448604137,0.04675569954767454,0.005606270641644461,0.5800420164900058,0.5902590528774684
80,0,100%,0.0810672840685308,0.038348463196394074,0.0036955714805092283,0.5527492161882529,0.6390242356723763
80,45,97%,0.08279690294107327,0.035676399654775134,0.004747787841862986,0.6001330494500872,0.6320517953837412
80,90,93%,0.0849649221361381,0.038069037894509224,0.005307732409017036,0.6095982388709646,0.6170162094338623
80,116,91%,0.08628620251596231,0.03887605050488616,0.00562419537625368,0.6124429020424629,0.6093814349953528
80,135,89%,0.08734254265295581,0.039931400613383794,0.005917576565924429,0.6056142595625947,0.603501178617822
80,180,80%,0.09054317825582127,0.045097403232902386,0.007202879082214958,0.5275186373904961,0.6017258939711245
80,204,78%,0.09131889610436748,0.04644978437620062,0.007683020028296679,0.5202018359737496,0.6028885074743993
90,0,100%,0.08079199735647172,0.03840954652860154,0.004247930512157119,0.5407415119673469,0.6399572309026744
90,45,97%,0.08265078796388978,0.03334459521873276,0.0050745903117230045,0.5602873319907683,0.6419558821658086
90,90,93%,0.08479086269228785,0.03575645208124731,0.005561478755500253,0.5677179926804203,0.6275081495788811
90,116,91%,0.08611543033322393,0.03656744287746152,0.005958227234618075,0.5691858908686678,0.6202285748414381
90,135,89%,0.08721744945001168,0.037605228110689275,0.006337475813951654,0.5666912911121424,0.6143828471280565
90,180,80%,0.09029315751381856,0.04308042412698306,0.007994912142456222,0.5066162160020087,0.6077445335474218
90,204,78%,0.09103284049093703,0.04429844622577366,0.008704272640842323,0.5059833555994405,0.6080588617924465
100,0,100%,0.08024143035875468,0.03879883642412841,0.0035930861246254286,0.568788750607236,0.6266355742690995
100,45,97%,0.08254715555153415,0.03387560317241027,0.0042908105538275974,0.5520945899483212,0.6359432000492533
100,90,93%,0.08467015865159991,0.03611610382473572,0.005069964893802891,0.5527642882597598,0.6223110180633611
100,116,91%,0.08599595934042609,0.03689792464571191,0.00557010625012128,0.5500128399100294,0.6161555574875711
100,135,89%,0.08708841292797244,0.03761865560983067,0.006090162455241007,0.5219676679733922,0.6183694320130563
100,180,80%,0.08991920188539293,0.04222113062753647,0.008214473526990559,0.48376275551319753,0.6103933084312657
100,204,78%,0.09054921181441028,0.043378000478918946,0.008792186713224194,0.48428924456862366,0.6111696780098405
